last_name,first_name,name,team,player_id,year,HR.,BB.,AVG,SLG,SacBunt.,HPto1B,SprintSpeed,cluster
Flores, Wilmer,Wilmer Flores,SF,527038,2021,0.796779967,0.431764968,0.729218277,0.766742859,-0.702738134,0.701317485,-1.274337287,1
LaMarre, Ryan,Ryan LaMarre,NYY,534606,2021,2.849937834,0.167688134,-0.220981245,0.968328371,-0.702738134,-1.142001721,1.178487299,2
Tovar, Wilfredo,Wilfredo Tovar,NYM,541600,2021,-1.143454263,0.167688134,-0.32655897,-1.075331647,-0.702738134,-0.483673433,0.43693568,9
Garcia, Avisail,Avisail Garcia,MIL,541645,2021,1.494263538,-0.048374731,0.729218277,1.065645515,-0.702738134,-0.319091361,1.121444866,2
Perez, Hernan,Hernan Perez,WSH,541650,2021,-1.143454263,0.455771952,-2.028999779,-1.972039615,-0.702738134,0.240487683,-0.304615939,8
Inciarte, Ender,Ender Inciarte,ATL,542255,2021,-0.081919639,0.071660194,0.108949144,-0.143867557,0.928739329,-1.109085307,0.037638654,9
Ozuna, Marcell,Marcell Ozuna,ATL,542303,2021,0.417792138,0.359744013,0.082554713,0.134181425,-0.702738134,-0.055760046,-0.133488643,2
Villar, Jonathan,Jonathan Villar,NYM,542340,2021,0.518993108,0.359744013,0.557654474,0.551254898,1.74447806,-0.615339091,0.322850815,9
Ortega, Rafael,Rafael Ortega,CHC,542364,2021,0.414778124,0.359744013,1.111937528,0.877962452,1.74447806,-0.450757019,0.43693568,9
Santana, Danny,Danny Santana,BOS,542454,2021,0.663899912,0.071660194,-0.339756185,0.057717955,-0.702738134,-0.845753992,0.722147841,9
Aguilar, Jesus,Jesus Aguilar,MIA,542583,2021,0.911052597,0.335737028,0.716021061,0.850157554,-0.702738134,0.865899557,-1.388422152,1
Anderson, Tyler,Tyler Anderson,SEA,542881,2021,-0.068310219,-1.224716991,-1.369139,-1.096185321,-0.702738134,0.010072783,-0.002291049,8
Berti, Jon,Jon Berti,MIA,542932,2021,-0.423615341,1.007932605,0.042963067,-0.164721231,0.113000596,-1.174918135,1.805954053,2
Brantly, Rob,Rob Brantly,NYY,542963,2021,-1.143454263,-1.824891613,-0.748869868,-0.950209605,-0.702738134,0.339236926,-0.418700804,8
Burns, Andy,Andy Burns,LAD,542992,2021,-1.143454263,2.976505367,0.874387648,0.189791221,-0.702738134,-0.91158682,0.893275137,1
Crawford, Brandon,Brandon Crawford,SF,543063,2021,0.940054663,0.623820847,1.204318037,1.2880847,-0.702738134,-0.286174947,-0.5898281,2
Cron, C.J.,C.J. Cron,COL,543068,2021,1.354539945,0.815876726,0.979965372,1.343694497,-0.702738134,0.470902584,-0.475743236,1
DeSclafani, Anthony,Anthony DeSclafani,SF,543101,2021,-1.143454263,-0.264437595,-2.213760797,-1.930332267,1.74447806,2.577553105,-2.301101067,5
Dickerson, Alex,Alex Dickerson,SF,543105,2021,0.78268717,-0.048374731,0.346499025,0.579059796,-0.702738134,-0.088676461,-0.019403778,2
Gomes, Yan,Yan Gomes,WSH,543228,2021,0.538576216,-0.600535383,0.597246121,0.586011021,-0.702738134,0.503818998,-0.247573507,2
Gray, Sonny,Sonny Gray,CIN,543243,2021,-1.143454263,-1.27273096,-0.80165873,-1.325575731,1.74447806,1.227980115,-1.217294855,7
Grossman, Robbie,Robbie Grossman,DET,543257,2021,0.587971573,1.680128182,0.425682318,0.544303673,-0.090934086,-0.615339091,0.608062976,2
Harrison, Josh,Josh Harrison,WSH,543281,2021,-0.479206869,-0.480500459,0.953570941,0.440035305,-0.702738134,-0.352007776,-0.019403778,9
Hendricks, Kyle,Kyle Hendricks,CHC,543294,2021,-1.143454263,-1.032661111,-1.210772413,-1.402039201,1.74447806,2.972550077,-2.586313228,5
Hicks, Aaron,Aaron Hicks,NYY,543305,2021,0.409531555,0.839883711,-0.168192383,-0.02569674,-0.702738134,-0.319091361,0.094681086,2
Hicks, John,John Hicks,TEX,543308,2021,4.266947944,-1.824891613,0.676429414,2.365524506,-0.702738134,0.010072783,-0.07644621,3
Higashioka, Kyle,Kyle Higashioka,NYY,543309,2021,1.029116594,0.119674164,-0.339756185,0.363571835,-0.702738134,0.470902584,-0.760955397,2
Hosmer, Eric,Eric Hosmer,SD,543333,2021,-0.15491317,0.215702103,0.821598786,0.405279182,0.113000596,-0.121592875,-0.418700804,9
Lavarnway, Ryan,Ryan Lavarnway,CLE,543432,2021,-1.143454263,-1.032661111,0.57085169,0.141132649,1.74447806,1.227980115,-1.217294855,7
McCann, James,James McCann,NYM,543510,2021,-0.025304459,0.047653209,0.333301809,0.085522853,-0.702738134,0.470902584,-0.019403778,2
Miller, Brad,Brad Miller,PHI,543543,2021,1.39011778,1.03193959,0.267315731,0.808450206,-0.702738134,-0.582422676,0.43693568,2
Nola, Austin,Austin Nola,SD,543592,2021,-0.658707229,-0.0963887,0.861190432,0.273205916,-0.702738134,0.536735413,-0.418700804,9
Rendon, Anthony,Anthony Rendon,LAA,543685,2021,0.015917657,0.959918635,0.438879534,0.314913263,-0.702738134,0.832983142,-0.875040262,9
Semien, Marcus,Marcus Semien,TOR,543760,2021,1.750530052,0.359744013,0.768809923,1.399304293,-0.702738134,-0.648255505,1.064402434,2
Shaw, Travis,Travis Shaw,MIL,543768,2021,0.571889169,0.479778937,-0.089009089,0.252352242,0.928739329,0.503818998,-0.932082694,9
Springer III, George,George Springer III,TOR,543807,2021,1.941741633,0.767862756,0.755612708,1.517475111,-0.702738134,-0.812837577,0.95031757,2
Vazquez, Christian,Christian Vazquez,BOS,543877,2021,-0.594144855,-0.24043061,0.676429414,0.106376527,-0.213294895,0.470902584,-0.875040262,9
Wong, Kolten,Kolten Wong,MIL,543939,2021,0.175711213,-0.312451564,0.861190432,0.766742859,-0.702738134,-0.582422676,-0.019403778,9
Gregorius, Didi,Didi Gregorius,PHI,544369,2021,0.337790366,-0.360465534,0.029765851,0.231498568,-0.702738134,-0.615339091,0.551020544,9
Garcia, Leury,Leury Garcia,CWS,544725,2021,-0.638266095,0.239709088,0.795204354,0.273205916,0.870472276,-1.174918135,0.95031757,9
Vargas, Ildemaro,Ildemaro Vargas,ARI,545121,2021,-1.143454263,-0.0963887,-0.669686575,-0.80423389,-0.702738134,0.240487683,0.151723519,8
Bauer, Trevor,Trevor Bauer,LAD,545333,2021,-1.143454263,-1.128689051,-2.29294409,-2.111064106,1.74447806,3.400463464,-2.87152539,5
Grichuk, Randal,Randal Grichuk,TOR,545341,2021,0.661777804,-0.624542368,0.452076749,0.59991347,-0.702738134,-0.417840604,0.779190273,2
Marisnick, Jake,Jake Marisnick,CHC,545350,2021,0.047756455,-0.480500459,0.12214636,0.266254691,0.520869963,-0.549506262,1.178487299,9
Stassi, Max,Max Stassi,LAA,545358,2021,0.789517458,0.287723058,0.452076749,0.620767143,-0.702738134,0.602568242,-0.190531075,2
Trout, Mike,Mike Trout,LAA,545361,2021,1.723596465,2.616400594,1.666220582,1.997109605,-0.702738134,-0.91158682,1.46369946,6
Herrera, Odubel,Odubel Herrera,PHI,546318,2021,0.067874681,-0.408479504,0.702823845,0.551254898,-0.294868768,-0.977419649,0.322850815,9
Alford, Anthony,Anthony Alford,PIT,546990,2021,0.432884728,0.119674164,0.346499025,0.481742652,-0.702738134,-1.339500207,1.634826756,2
Almora Jr., Albert,Albert Almora Jr.,NYM,546991,2021,-1.143454263,-0.936633172,-1.210772413,-1.137892668,-0.702738134,-0.747004748,0.722147841,8
Poteet, Cody,Cody Poteet,MIA,547001,2021,-1.143454263,-1.824891613,-1.408730647,-1.645332061,1.74447806,2.445887447,-2.187016203,5
Ruiz, Rio,Rio Ruiz,BAL,547004,2021,-0.137119452,0.215702103,-0.511319988,-0.449721438,0.113000596,0.635484656,-0.5898281,8
Wolters, Tony,Tony Wolters,CHC,547172,2021,-1.143454263,2.184274865,-1.078800257,-1.471551447,1.74447806,0.767150313,-0.817997829,7
Harper, Bryce,Bryce Harper,PHI,547180,2021,1.863864568,2.184274865,1.349487409,1.934548584,0.113000596,-0.615339091,0.608062976,6
Perez, Roberto,Roberto Perez,CLE,547379,2021,0.938207577,0.719848786,-0.762067084,-0.123013884,1.74447806,0.635484656,-1.160252423,9
Kim, Kwang Hyun,Kwang Hyun Kim,STL,547942,2021,-1.143454263,-1.824891613,-1.210772413,-1.269965935,1.74447806,-0.549506262,0.493978112,9
Abreu, Jose,Jose Abreu,CWS,547989,2021,1.079016628,0.407757983,0.716021061,1.003084494,-0.702738134,0.174654854,-0.133488643,1
Diaz, Elias,Elias Diaz,COL,553869,2021,1.089537187,0.119674164,0.518062827,0.884913676,-0.702738134,0.602568242,-0.532785668,1
Narvaez, Omar,Omar Narvaez,MIL,553882,2021,0.036179453,0.383750998,0.782007139,0.453937754,-0.702738134,0.701317485,-0.875040262,9
Astudillo, Willians,Willians Astudillo,MIN,553902,2021,0.267672269,-1.488793825,0.386090672,0.266254691,-0.702738134,1.326729358,-1.445464584,7
Suarez, Eugenio,Eugenio Suarez,CIN,553993,2021,1.430504428,0.527792907,-0.11540352,0.634669593,-0.702738134,0.207571269,-0.019403778,2
Wheeler, Zack,Zack Wheeler,PHI,554430,2021,-1.143454263,-1.824891613,-0.590503281,-1.012770626,1.74447806,2.215472547,-2.015888906,5
Polanco, Gregory,Gregory Polanco,PIT,570256,2021,0.229274264,0.431764968,0.016568635,0.120278976,-0.702738134,-0.648255505,0.265808383,2
Gonzalez, Erik,Erik Gonzalez,PIT,570481,2021,-0.762266838,-0.984647142,0.333301809,-0.25508715,-0.702738134,-0.450757019,0.43693568,9
Urshela, Gio,Gio Urshela,NYY,570482,2021,0.254232961,-0.744577293,0.795204354,0.572108572,-0.702738134,-0.022843632,-0.5898281,2
Schoop, Jonathan,Jonathan Schoop,DET,570731,2021,0.337241704,-0.504507444,0.940373726,0.683328164,-0.702738134,0.075905611,0.151723519,2
Adams, Matt,Matt Adams,COL,571431,2021,-1.143454263,0.575806877,-0.524517203,-0.991916953,-0.702738134,0.470902584,-0.817997829,8
Arenado, Nolan,Nolan Arenado,STL,571448,2021,1.260662074,0.023646224,0.636837767,1.093450413,-0.702738134,0.66840107,-0.760955397,1
Barnhart, Tucker,Tucker Barnhart,CIN,571466,2021,-0.300022289,-0.024367746,0.531260043,0.217596119,-0.702738134,0.898815971,-1.388422152,9
Corbin, Patrick,Patrick Corbin,WSH,571578,2021,-1.143454263,-0.672556338,-0.986419748,-1.422892875,1.74447806,2.511720276,-2.244058635,5
Farmer, Kyle,Kyle Farmer,CIN,571657,2021,0.245551688,-0.816598247,0.742415492,0.551254898,-0.294868768,-0.187425704,0.151723519,2
Goodwin, Brian,Brian Goodwin,CWS,571718,2021,0.283970993,1.103960545,0.188132438,0.259303467,0.520869963,-0.747004748,0.322850815,2
Hamilton, Billy,Billy Hamilton,CWS,571740,2021,-0.483129604,-1.104682066,0.174935222,0.287108365,1.132674011,-1.471165865,1.577784324,9
Haniger, Mitch,Mitch Haniger,SEA,571745,2021,1.494116823,0.047653209,0.610443336,1.030889392,-0.702738134,-0.088676461,0.265808383,2
Hernandez, Enrique,Enrique Hernandez,BOS,571771,2021,0.507357446,0.671834817,0.57085169,0.780645308,-0.702738134,-0.352007776,0.379893247,2
Holt, Brock,Brock Holt,TEX,571788,2021,-0.786597959,0.287723058,0.029765851,-0.268989599,-0.702738134,-0.286174947,-0.361658372,9
Lamb, Jake,Jake Lamb,CWS,571875,2021,0.894839621,1.272009439,-0.168192383,0.217596119,-0.702738134,0.207571269,-0.418700804,1
Maile, Luke,Luke Maile,MIL,571912,2021,-1.143454263,0.287723058,1.230712468,0.669425715,-0.702738134,0.405069755,-0.475743236,9
